
---------- Begin Simulation Statistics ----------
simSeconds                                   0.007608                       # Number of seconds simulated (Second)
simTicks                                   7607894000                       # Number of ticks simulated (Tick)
finalTick                                  7607894000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     62.88                       # Real time elapsed on the host (Second)
hostTickRate                                120998600                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     691196                       # Number of bytes of host memory used (Byte)
simInsts                                     11585134                       # Number of instructions simulated (Count)
simOps                                       19857907                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   184254                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     315827                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          7607895                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        19885095                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       67                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       20047239                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    185                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                27249                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             43300                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  66                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7598226                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.638410                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.205294                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1527699     20.11%     20.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1222756     16.09%     36.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1205361     15.86%     52.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1272904     16.75%     68.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1025157     13.49%     82.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    552918      7.28%     89.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    246171      3.24%     92.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    109275      1.44%     94.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    435985      5.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7598226                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   10134     34.33%     34.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     34.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     7      0.02%     34.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     34.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     34.35% # attempts to use FU when none available (Count)
