
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029686                       # Number of seconds simulated (Second)
simTicks                                  29686378000                       # Number of ticks simulated (Tick)
finalTick                                 29686378000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     95.92                       # Real time elapsed on the host (Second)
hostTickRate                                309485496                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     696620                       # Number of bytes of host memory used (Byte)
simInsts                                     11508013                       # Number of instructions simulated (Count)
simOps                                       22799444                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   119973                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     237688                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         29686379                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23051080                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       67                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       33476762                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  21512                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               251697                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            454489                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  66                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29677199                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.128030                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.876660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19132896     64.47%     64.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2973730     10.02%     74.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1194960      4.03%     78.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1741412      5.87%     84.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2130091      7.18%     91.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1371056      4.62%     96.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    624940      2.11%     98.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    301320      1.02%     99.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    206794      0.70%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29677199                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   76050      1.99%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      1.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      1.99% # attempts to use FU when none available (Count)
