
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029736                       # Number of seconds simulated (Second)
simTicks                                  29735562000                       # Number of ticks simulated (Tick)
finalTick                                 29735562000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     95.67                       # Real time elapsed on the host (Second)
hostTickRate                                310823333                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     695600                       # Number of bytes of host memory used (Byte)
simInsts                                     11530709                       # Number of instructions simulated (Count)
simOps                                       22868791                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120529                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     239045                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         29735563                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23135889                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       74                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       33497357                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  21255                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               267166                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            481006                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  74                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            29726203                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.126863                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.872455                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  19079583     64.18%     64.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3172153     10.67%     74.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1079968      3.63%     78.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1668653      5.61%     84.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2275177      7.65%     91.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1391748      4.68%     96.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    532409      1.79%     98.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    306689      1.03%     99.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    219823      0.74%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              29726203                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   80941      2.10%      2.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.10% # attempts to use FU when none available (Count)
