
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029588                       # Number of seconds simulated (Second)
simTicks                                  29588313750                       # Number of ticks simulated (Tick)
finalTick                                 29588313750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    160.98                       # Real time elapsed on the host (Second)
hostTickRate                                183803717                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     696624                       # Number of bytes of host memory used (Byte)
simInsts                                     11508013                       # Number of instructions simulated (Count)
simOps                                       22799444                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    71488                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     141631                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        118353256                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22918768                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       67                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       34967126                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9107                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               119385                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            196945                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  66                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           118296897                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.295588                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.988733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 105016455     88.77%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5126417      4.33%     93.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1430932      1.21%     94.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2512058      2.12%     96.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2298192      1.94%     98.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1408705      1.19%     99.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    335375      0.28%     99.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    155976      0.13%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     12787      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             118296897                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  100047      2.20%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.20% # attempts to use FU when none available (Count)
