
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000087                       # Number of seconds simulated (Second)
simTicks                                     87380000                       # Number of ticks simulated (Tick)
finalTick                                    87380000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.21                       # Real time elapsed on the host (Second)
hostTickRate                                409227705                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     739724                       # Number of bytes of host memory used (Byte)
simInsts                                        19676                       # Number of instructions simulated (Count)
simOps                                          39141                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    92082                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     183166                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            87381                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           70304                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          61403                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    200                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                31158                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             40881                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               59422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.033338                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.946660                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     42000     70.68%     70.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      3763      6.33%     77.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      2844      4.79%     81.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      2681      4.51%     86.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      2438      4.10%     90.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      2164      3.64%     94.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1993      3.35%     97.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       933      1.57%     98.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       606      1.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 59422                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     720     79.47%     79.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     79.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.47% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     79.47% # attempts to use FU when none available (Count)
