
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000060                       # Number of seconds simulated (Second)
simTicks                                     59529000                       # Number of ticks simulated (Tick)
finalTick                                    59529000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.18                       # Real time elapsed on the host (Second)
hostTickRate                                335176565                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     682644                       # Number of bytes of host memory used (Byte)
simInsts                                        19799                       # Number of instructions simulated (Count)
simOps                                          39389                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   111302                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     221387                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                            59530                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           71213                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          62102                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    187                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                31819                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             41399                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               47477                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.308044                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.121895                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     30079     63.35%     63.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      3670      7.73%     71.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      2805      5.91%     76.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      2663      5.61%     82.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      2430      5.12%     87.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      2172      4.57%     92.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      2003      4.22%     96.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1005      2.12%     98.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       650      1.37%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 47477                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     718     80.49%     80.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     80.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     80.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     80.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     80.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     80.49% # attempts to use FU when none available (Count)
